iter	RMSE
0	1804.848594
1	1303.573739
2	953.3237639
3	688.8921157
4	502.6638458
5	376.1358044
6	277.7110802
7	211.61305
8	161.0565824
9	124.9387954
10	97.81444776
11	78.29218476
12	63.42079321
13	53.21122799
14	46.43864574
15	40.43966543
16	35.72950885
17	31.8834684
18	28.63173768
19	25.40591574
20	23.85996751
21	22.70563969
22	22.29282919
23	20.8203779
24	18.55461524
25	18.27468817
26	17.21821527
27	17.10624521
28	16.85489508
29	15.71524712
30	14.95551814
31	13.60726106
32	12.73758521
33	12.57029517
34	12.39428906
35	11.45479677
36	10.9298542
37	10.68765337
38	9.837366956
39	9.475482884
40	8.801026739
41	8.450353269
42	8.211549492
43	7.990635673
44	7.519535338
45	7.034548227
46	6.788028187
47	6.345143692
48	6.261840087
49	6.009903312
50	5.764017696
51	5.683927279
52	5.446739521
53	5.378602434
54	5.136016469
55	4.874788983
56	4.732734956
57	4.479849179
58	4.343707835
59	4.175095896
60	4.122869611
61	3.863080149
62	3.817390408
63	3.674889127
64	3.633241153
65	3.529125564
66	3.37554551
67	3.299330538
68	3.260476033
69	3.106779366
70	2.967347031
71	2.932023736
72	2.905495937
73	2.856495768
74	2.734922231
75	2.627298816
76	2.566628418
77	2.536741264
78	2.472525739
79	2.39010376
80	2.330815426
81	2.230209158
82	2.209719953
83	2.192437045
84	2.162510872
85	2.12950576
86	2.066511213
87	2.026451487
88	1.967306129
89	1.917177068
90	1.889938526
91	1.862500677
92	1.849651839
93	1.831348338
94	1.813355232
95	1.761173143
96	1.687086597
97	1.637256287
98	1.617607018
99	1.588617479
