iter	Passed	Remaining
0	36	3658
1	67	3299
2	104	3394
3	141	3398
4	178	3399
5	215	3370
6	249	3317
7	285	3286
8	321	3249
9	355	3202
10	385	3122
11	421	3094
12	466	3118
13	500	3073
14	535	3034
15	572	3003
16	610	2982
17	636	2897
18	671	2863
19	707	2830
20	742	2791
21	776	2754
22	811	2717
23	846	2679
24	882	2646
25	922	2626
26	964	2608
27	990	2546
28	1026	2513
29	1062	2478
30	1096	2439
31	1133	2407
32	1171	2377
33	1205	2339
34	1253	2327
35	1288	2290
36	1324	2255
37	1361	2221
38	1397	2186
39	1435	2153
40	1472	2119
41	1507	2081
42	1540	2041
43	1573	2002
44	1607	1965
45	1639	1925
46	1672	1886
47	1705	1847
48	1739	1810
49	1772	1772
50	1807	1736
51	1841	1699
52	1875	1663
53	1908	1625
54	1941	1588
55	1977	1553
56	2009	1516
57	2043	1480
58	2077	1443
59	2110	1406
60	2143	1370
61	2186	1340
62	2219	1303
63	2266	1275
64	2302	1239
65	2335	1203
66	2367	1166
67	2402	1130
68	2424	1089
69	2457	1053
70	2492	1017
71	2524	981
72	2556	945
73	2589	909
74	2623	874
75	2655	838
76	2691	803
77	2722	767
78	2756	732
79	2799	699
80	2833	664
81	2875	631
82	2909	595
83	2945	560
84	2981	526
85	3017	491
86	3052	456
87	3086	420
88	3119	385
89	3155	350
90	3190	315
91	3223	280
92	3255	245
93	3288	209
94	3321	174
95	3354	139
96	3392	104
97	3426	69
98	3459	34
99	3491	0
